DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30082128,The evolution of aggregation pheromone diversity in bark beetles,Book Chapter,"Symonds, M.R.E.;Gitau-Clarke, C.W.",0065-2806,Advances in insect physiology: pine bark beetles,"060309 Phylogeny and Comparative Analysis,060808 Invertebrate Biology,0608 Zoology",2016,3,5,,1.93,206,3,http://dro.deakin.edu.au/view/DU:30082128,FALSE
DU:30039071,Species richness and evenness in Australian birds,Journal Article,"Symonds, Matthew R. E.;Johnson, Christopher N.",0003-0147,American naturalist,"060202 Community Ecology (excl Invasive Species Ecology),060809 Vertebrate Biology",2008,24,21,4.167,2.672,506,58,http://dro.deakin.edu.au/view/DU:30039071,TRUE
DU:30039073,Geographical variation in bill size across bird species provides evidence for Allen's rule,Journal Article,"Symonds, Matthew R. E.;Tattersall, Glenn J.",0003-0147,American naturalist,"060201 Behavioural Ecology,060203 Ecological Physiology,060309 Phylogeny and Comparative Analysis",2010,76,68,4.167,2.672,327,75,http://dro.deakin.edu.au/view/DU:30039073,TRUE
DU:30039071,Species richness and evenness in Australian birds,Journal Article,"Symonds, Matthew R. E.;Johnson, Christopher N.",1537-5323,American naturalist,"060202 Community Ecology (excl Invasive Species Ecology),060809 Vertebrate Biology",2008,24,21,4.167,2.672,506,58,http://dro.deakin.edu.au/view/DU:30039071,TRUE
DU:30039073,Geographical variation in bill size across bird species provides evidence for Allen's rule,Journal Article,"Symonds, Matthew R. E.;Tattersall, Glenn J.",1537-5323,American naturalist,"060201 Behavioural Ecology,060203 Ecological Physiology,060309 Phylogeny and Comparative Analysis",2010,76,68,4.167,2.672,327,75,http://dro.deakin.edu.au/view/DU:30039073,TRUE
DU:30077342,The mothematics of female pheromone signaling: strategies for aging virgins,Journal Article,"Umbers, Kate D. L.;Symonds, Matthew R. E.;Kokko, Hanna",1537-5323,American naturalist,"060201 Behavioural Ecology,06 Biological Sciences",2015,27,24,4.167,2.672,187,3,http://dro.deakin.edu.au/view/DU:30077342,FALSE
DU:30105517,Leadership through knowledge and experience in a social sawfly,Journal Article,"Hodgkin, Lisa K;Symonds, Matthew RE;Elgar, Mark A",0003-3472,Animal behaviour,"06 Biological Sciences,07 Agricultural And Veterinary Sciences,17 Psychology And Cognitive Sciences",2017,1,1,2.869,1.661,115,3,http://dro.deakin.edu.au/view/DU:30105517,FALSE
DU:30039052,Ecological correlates of the threat of extinction in neotropical bird species,Journal Article,"Gage, G. S.;Brooke, M. de L.;Symonds, M. R. E.;Wege, D.",1367-9430,Animal conservation,"060207 Population Ecology,060309 Phylogeny and Comparative Analysis,060311 Speciation and Extinction,060207 Population Ecology,060309 Phylogeny and Comparative Analysis,060311 Speciation and Extinction",2004,30,27,2.835,1.469,310,2,http://dro.deakin.edu.au/view/DU:30039052,FALSE
DU:30046992,Brains and bravery: little evidence of a relationship between brain size and flightiness in shorebirds,Journal Article,"Guay, P. J.;Weston, M. A.;Symonds, M. R. E.;Glover, H. K.",1442-9985,Austral ecology,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology,060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology",2013,16,13,1.708,0.897,358,7,http://dro.deakin.edu.au/view/DU:30046992,FALSE
DU:30039049,Effects of humidity on the response of the bark beetle Ips grandicollis (Eichhoff) (Coleoptera: Curculionidae: Scolytinae) to synthetic aggregation pheromone,Journal Article,"Bassett, Michelle A.;Baumgartner, John B.;Hallett, Monique L.;Hassan, Yasmin;Symonds, Matthew R. E.",1326-6756,Australian journal of entomology,"060201 Behavioural Ecology,060801 Animal Behaviour,060808 Invertebrate Biology,060201 Behavioural Ecology,060801 Animal Behaviour,060808 Invertebrate Biology",2011,4,3,,,361,7,http://dro.deakin.edu.au/view/DU:30039049,FALSE
