DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30098472,Global patterns in mangrove soil carbon stocks and losses,Journal Article,"Atwood, Trisha B.;Connolly, Rod M.;Almahasheer, Hanan;Carnell, Paul E.;Duarte, Carlos M.;Ewers Lewis, Carolyn J.;Irigoien, Xabier;Kelleway, Jeffrey J.;Lavery, Paul S.;Macreadie, Peter I.;Serrano, Oscar;Sanders, Christian J.;Santos, Isaac;Steven, Andrew D. L.;Lovelock, Catherine E.",1758-678X,Nature climate change,"070504 Forestry Management and Environment,070501 Agroforestry",2017,44,38,19.304,8.256,147,2,http://dro.deakin.edu.au/view/DU:30098472,FALSE
DU:30105475,Author Correction: global patterns in mangrove soil carbon stocks and losses,Journal Article,"Atwood, Trisha B.;Connolly, Rod M.;Almahasheer, Hanan;Carnell, Paul E.;Duarte, Carlos M.;Ewers Lewis, Carolyn J.;Irigoien, Xabier;Kelleway, Jeffrey J.;Lavery, Paul S.;Macreadie, Peter I.;Serrano, Oscar;Sanders, Christian J.;Santos, Isaac;Steven, Andrew D. L.;Lovelock, Catherine E.",1758-678X,Nature climate change,,2018,0,,19.304,8.256,18,1,http://dro.deakin.edu.au/view/DU:30105475,FALSE
DU:30079559,Predators help protect carbon stocks in blue carbon ecosystems,Journal Article,"Atwood, Trisha B.;Connolly, Rod M.;Ritchie, Euan G.;Lovelock, Catherine E.;Heithaus, Michael R.;Hays, Graeme C.;Fourqurean, James W.;Macreadie, Peter I.",1758-6798,Nature climate change,060299 Ecology not elsewhere classified,2015,39,40,19.304,8.256,264,7,http://dro.deakin.edu.au/view/DU:30079559,FALSE
DU:30098472,Global patterns in mangrove soil carbon stocks and losses,Journal Article,"Atwood, Trisha B.;Connolly, Rod M.;Almahasheer, Hanan;Carnell, Paul E.;Duarte, Carlos M.;Ewers Lewis, Carolyn J.;Irigoien, Xabier;Kelleway, Jeffrey J.;Lavery, Paul S.;Macreadie, Peter I.;Serrano, Oscar;Sanders, Christian J.;Santos, Isaac;Steven, Andrew D. L.;Lovelock, Catherine E.",1758-6798,Nature climate change,"070504 Forestry Management and Environment,070501 Agroforestry",2017,44,38,19.304,8.256,147,2,http://dro.deakin.edu.au/view/DU:30098472,FALSE
DU:30105475,Author Correction: global patterns in mangrove soil carbon stocks and losses,Journal Article,"Atwood, Trisha B.;Connolly, Rod M.;Almahasheer, Hanan;Carnell, Paul E.;Duarte, Carlos M.;Ewers Lewis, Carolyn J.;Irigoien, Xabier;Kelleway, Jeffrey J.;Lavery, Paul S.;Macreadie, Peter I.;Serrano, Oscar;Sanders, Christian J.;Santos, Isaac;Steven, Andrew D. L.;Lovelock, Catherine E.",1758-6798,Nature climate change,,2018,0,,19.304,8.256,18,1,http://dro.deakin.edu.au/view/DU:30105475,FALSE
DU:30070708,A multi-criteria decision approach to decommissioning of offshore oil and gas infrastructure,Journal Article,"Fowler,AM;Macreadie,PI;Jones,DOB;Booth,DJ",0964-5691,Ocean and coastal management,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,43,20,1.861,0.887,252,1,http://dro.deakin.edu.au/view/DU:30070708,FALSE
DU:30076241,Integrating edge effects into studies of habitat fragmentation: a test using meiofauna in seagrass,Journal Article,"Warry, F.Y.;Hindell, J.S.;Macreadie, P.I.;Jenkins, G.P.;Connolly, Rod M.",1432-1939,Oecologia,"060202 Community Ecology (excl Invasive Species Ecology),0602 Ecology",2009,28,28,3.13,1.72,197,1,http://dro.deakin.edu.au/view/DU:30076241,FALSE
DU:30081858,Do ENSO and coastal development enhance coastal burial of terrestrial carbon?,Journal Article,"Macreadie, Peter I.;Rolph, Timothy C.;Boyd, Ron;Schröder-Adams, Claudia J.;Skilbeck, Charles G.",1932-6203,PLoS one,"050102 Ecosystem Function,050205 Environmental Management",2015,6,5,2.806,1.201,173,6,http://dro.deakin.edu.au/view/DU:30081858,TRUE
DU:30107577,Benthic meiofaunal community response to the cascading effects of herbivory within an algal halo system of the Great Barrier Reef,Journal Article,"Ollivier, Quinn R;Hammill, Edward;Booth, David J;Madin, Elizabeth MP;Hinchliffe, Charles;Harborne, Alastair R;Lovelock, Catherine E;Macreadie, Peter I;Atwood, Trisha B",1932-6203,PloS one,"MD Multidisciplinary,MD Multidisciplinary",2018,1,,2.806,1.201,60,11,http://dro.deakin.edu.au/view/DU:30107577,TRUE
DU:30076233,Physiological and morphological responses of the temperate seagrass Zostera muelleri to multiple stressors: investigating the interactive effects of light and temperature,Journal Article,"York, Paul H.;Gruber, Renee K.;Hill, Ross;Ralph, Peter J.;Booth, David J.;Macreadie, Peter I.",1932-6203,PLoS one,"060701 Phycology (incl Marine Grasses),050102 Ecosystem Function",2013,33,28,2.806,1.201,172,16,http://dro.deakin.edu.au/view/DU:30076233,TRUE
DU:30076234,Loss of 'blue carbon' from coastal salt marshes following habitat disturbance,Journal Article,"Macreadie, Peter I.;Hughes, A. Randall;Kimbro, David L.",1932-6203,PLoS one,"060701 Phycology (incl Marine Grasses),050102 Ecosystem Function,060205 Marine and Estuarine Ecology (incl Marine Ichthyology)",2013,37,30,2.806,1.201,169,11,http://dro.deakin.edu.au/view/DU:30076234,TRUE
DU:30076235,Restricting prey dispersal can overestimate the importance of predation in trophic cascades,Journal Article,"Geraldi, Nathan R.;Macreadie, Peter I.",1932-6203,PLoS one,"060202 Community Ecology (excl Invasive Species Ecology),060801 Animal Behaviour",2013,7,9,2.806,1.201,171,9,http://dro.deakin.edu.au/view/DU:30076235,TRUE
DU:30076231,Should we 'reef' obsolete oil platforms?,Journal Article,"Fowler, Ashley M.;Macreadie, Peter I.;Booth, David J.",1091-6490,Proceedings of the National Academy of Sciences of the United States of America,050205 Environmental Management,2015,14,,9.661,6.321,14,1,http://dro.deakin.edu.au/view/DU:30076231,FALSE
DU:30079914,Losses and recovery of organic carbon from a seagrass ecosystem following disturbance,Journal Article,"Macreadie, Peter I.;Trevathan-Tackett, Stacey M.;Skilbeck, Charles G.;Sanderman, Jonathan;Curlevski, Nathalie;Jacobsen, Gerladine;Seymour, Justin R.",1471-2954,Proceedings of the Royal Society B : biological sciences,"060205 Marine and Estuarine Ecology (incl Marine Ichthyology),06 Biological Sciences,11 Medical And Health Sciences,07 Agricultural And Veterinary Sciences",2015,31,21,4.94,2.541,173,2,http://dro.deakin.edu.au/view/DU:30079914,FALSE
DU:30088153,Converting beach-cast seagrass wrack into biochar: a climate-friendly solution to a coastal problem,Journal Article,"Macreadie, Peter I.;Trevathan-Tackett, Stacey M.;Baldock, Jeffrey A.;Kelleway, Jeffrey J.",0048-9697,Science of the total environment,"050205 Environmental Management,060701 Phycology (incl Marine Grasses),MD Multidisciplinary",2017,3,,4.9,1.621,160,1,http://dro.deakin.edu.au/view/DU:30088153,FALSE
DU:30105622,Fresh carbon inputs to seagrass sediments induce variable microbial priming responses,Journal Article,"Trevathan-Tackett, Stacey M.;Thomson, Alexandra C. G.;Ralph, Peter J.;Macreadie, Peter I.",0048-9697,Science of the total environment,MD Multidisciplinary,2018,6,,4.9,1.621,66,2,http://dro.deakin.edu.au/view/DU:30105622,FALSE
