URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,SJR,SJR Best Quartile,H index,Journal Impact Factor,Scopus Citation Count,Web of Science Citation Count,Abstract Views,File Downloads,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30073645,2009,Conservation prioritization using metapopulation models,"Nicholson, Emily;Ovaskainen, Otso",Spatial conservation prioritisation: quantitative methods and computational tools,050202 Conservation and Biodiversity,NA,NA,NA,NA,NA,NA,NA,90,1,DU:30073645,"NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30072063,2014,Conservation. Taking the measure of change,"Collen,B;Nicholson,E",Science,"050202 Conservation and Biodiversity,060207 Population Ecology","History and Philosophy of Science (Q1)
Multidisciplinary (Q1)",14.142,Q1,1015,37.205,31,31,230,3,DU:30072063,"00368075, 00368075, 10959203, 10959203, 10959203, 00368075, 00368075, 10959203, 10959203, 10959203",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30085710,2017,Cost and feasibility of a barrier to halt the spread of invasive cane toads in arid Australia: incorporating expert knowledge into model-based decision-making,"Southwell, Darren;Tingley, Reid;Bode, Michael;Nicholson, Emily;Phillips, Ben L.",Journal of applied ecology,"050103 Invasive Species Ecology,050205 Environmental Management,0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology",Ecology (Q1),3.062,Q1,151,5.301,4,4,166,0,DU:30085710,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073614,2015,Cost-effective assessment of extinction risk with limited information,"Bland, Lucie;Orme, C. David L.;Bielby, Jon;Collen, Ben;Nicholson, Emily;McCarthy, Michael A.",Journal of applied ecology,050202 Conservation and Biodiversity,Ecology (Q1),3.062,Q1,151,5.301,18,18,239,2,DU:30073614,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30108672,2017,Decision-making in conservation and natural resource management : models for interdisciplinary approaches,"Bunnefeld, N;Nicholson, Emily;Milner-Gulland, EJ",NA,"050202 Conservation and Biodiversity,050209 Natural Resource Management",NA,NA,NA,NA,NA,NA,2,20,0,DU:30108672,"NA, NA",Book,FALSE
http://dro.deakin.edu.au/view/DU:30118359,2017,Decision-Making in Conservation and Natural Resource Management: Models for Interdisciplinary Approaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,DU:30118359,"NA, NA",Book,FALSE
http://dro.deakin.edu.au/view/DU:30106000,2018,Developing a standardized definition of ecosystem collapse for risk assessment,"Bland, Lucie M.;Rowland, Jessica A.;Regan, Tracey J.;Keith, David A.;Murray, Nicholas J.;Lester, Rebecca E.;Linn, Matt.;Rodríguez, Jon Paul.;Nicholson, Emily",Frontiers in ecology and the environment,"050102 Ecosystem Function,050202 Conservation and Biodiversity,MD Multidisciplinary,050102 Ecosystem Function,050202 Conservation and Biodiversity,MD Multidisciplinary","Ecology (Q1)
Ecology, Evolution, Behavior and Systematics (Q1)",4.677,Q1,127,8.039,4,4,127,14,DU:30106000,15409295,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30083281,2016,"Drivers of the distribution of fisher effort at Lake Alaotra, Madagascar","Wallace, Andrea P.C.;Jones, Julia P.G.;Milner-Gulland, E.J.;Wallace, Graham E.;Young, Richard;Nicholson, Emily",Human ecology: an interdisciplinary journal,"070403 Fisheries Management,070401 Aquaculture","Anthropology (Q1)
Arts and Humanities (miscellaneous) (Q1)
Health (social science) (Q1)
Sociology and Political Science (Q1)
Ecology (Q2)
Environmental Science (miscellaneous) (Q2)
Health, Toxicology and Mutagenesis (Q2)
Public Health, Environmental and Occupational Health (Q2)",0.752,Q1,60,1.743,5,4,172,12,DU:30083281,03007839,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30073627,2011,Establishing IUCN red list criteria for threatened ecosystems,"Rodríguez, Jon Paul;Rodríguez-Clark, Kathryn M.;Baillie, Jonathan E. M.;Ash, Neville;Benson, John;Boucher, Timothy;Brown, Claire;Burgess, Neil D.;Collen, Ben;Jennings, Michael;Keith, David A.;Nicholson, Emily;Revenga, Carmen;Reyers, Belinda;Rouget, Mathieu;Smith, Tammy;Spalding, Mark;Taber, Andrew;Walpole, Matt;Zager, Irene;Zamin, Tara",Conservation biology,050202 Conservation and Biodiversity,"Ecology (Q1)
Ecology, Evolution, Behavior and Systematics (Q1)
Medicine (miscellaneous) (Q1)
Nature and Landscape Conservation (Q1)",3.081,Q1,194,4.842,93,74,186,2,DU:30073627,"08888892, 08888892, 15231739, 15231739, 15231739, 15231739, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30113815,2018,Expanding the role of targets in conservation policy,"Doherty, Tim S.;Bland, Lucie M.;Bryan, Brett A.;Neale, Timothy;Nicholson, Emily;Ritchie, Euan G.;Driscoll, Don A.",Trends in ecology and evolution,"06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,05 Environmental Sciences","Ecology, Evolution, Behavior and Systematics (Q1)",8.634,Q1,295,15.268,2,1,82,2,DU:30113815,01695347,Journal Article,FALSE
