URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,Abstract Views,File Downloads,SJR,SJR Best Quartile,H index,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30077341,2015,Evolutionary history and leaf succulence as explanations for medicinal use in aloes and the global popularity of Aloe vera,"Grace, Olwen M.;Buerki, Sven;Symonds, Matthew R. E.;Forest, Félix;van Wyk, Abraham E.;Smith, Gideon F.;Klopper, Ronell R.;Bjorå, Charlotte S.;Neale, Sophie;Demissew, Sebsebe;Simmonds, Monique S.J.;Rønsted, Nina",BMC evolutionary biology,"060309 Phylogeny and Comparative Analysis,060302 Biogeography and Phylogeography","Ecology, Evolution, Behavior and Systematics (Q1)",19,23,3.221,211,21,1.656,Q1,102,DU:30077341,"14712148, 14712148",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30088481,2016,Experimental evolution reveals that population density does not affect moth signalling behaviour and antennal morphology,"Ashman, Kita;McNamara, Kathryn B;Symonds, Matthew",Evolutionary ecology,"060399 Evolutionary Biology not elsewhere classified,060305 Evolution of Developmental Systems,060299 Ecology not elsewhere classified","Ecology, Evolution, Behavior and Systematics (Q1)",5,4,1.818,172,4,1.117,Q1,70,DU:30088481,15738477,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30055438,2013,Factors shaping the evolution of colour patterns in Australian agamid lizards (Agamidae): a comparative study,"Chen, I-Ping;Symonds, Matthew R.E.;Melville, Jane;Stuart-Fox, Devi",Biological journal of the Linnean Society,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Ecology, Evolution, Behavior and Systematics (Q1)",14,13,2.288,316,2,1.175,Q1,98,DU:30055438,"00244066, 00244066, 10958312, 10958312, 00244066, 00244066, 10958312, 10958312",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039057,2007,Fair assessment for women scientists,"Symonds, Matthew",Australian R&D review,"160511 Research, Science and Technology Policy",NA,NA,NA,NA,54,0,NA,NA,NA,DU:30039057,"NA",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30051803,2007,Field surveys of the invasive bark beetle Ips grandicollis at Wirrabara State Forest 2006-2007,"Symonds, Matthew",NA,"060207 Population Ecology,060808 Invertebrate Biology",NA,NA,NA,NA,55,0,NA,NA,NA,DU:30051803,"NA",Book,FALSE
http://dro.deakin.edu.au/view/DU:30072068,2014,Gender differences in conference presentations: a consequence of self-selection?,"Jones, Theresa M.;Fanson, Kerry V.;Lanfear, Rob;Symonds, Matthew R. E.;Higgie, Megan",PeerJ,"160511 Research, Science and Technology Policy","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q2)",13,13,2.177,275,15,1.087,Q1,35,DU:30072068,21678359,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039068,2006,Gender differences in publication output: towards an unbiased metric of research performance,"Symonds, M. R. E.;Gemmell, Neil J.;Braisher, Tamsin L.;Gorringe, Kylie L.;Elgar, Mark A.",PLoS ONE,"060299 Ecology not elsewhere classified,160511 Research, Science and Technology Policy","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)",115,108,2.806,328,18,1.164,Q1,241,DU:30039068,19326203,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039073,2010,Geographical variation in bill size across bird species provides evidence for Allen's rule,"Symonds, Matthew R. E.;Tattersall, Glenn J.",American naturalist,"060201 Behavioural Ecology,060203 Ecological Physiology,060309 Phylogeny and Comparative Analysis","Ecology, Evolution, Behavior and Systematics (Q1)",76,68,4.167,327,75,2.661,Q1,181,DU:30039073,"00030147, 00030147, 15375323, 15375323, 15375323, 00030147, 00030147, 15375323, 15375323, 15375323",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039055,2009,Harem size and oviposition behaviour in a polygynous bark beetle,"Latty, Tanya M.;Magrath, Michael J. L.;Symonds, Matthew R. E.",Ecological entomology,"060201 Behavioural Ecology,060808 Invertebrate Biology,060201 Behavioural Ecology,060808 Invertebrate Biology",Ecology (Q1); Insect Science (Q1),7,6,1.771,295,2,1.138,Q1,70,DU:30039055,03076946,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039058,1999,Insectivore life histories: further evidence against an optimum body size for mammals,"Symonds, M. R. E.",Functional ecology,"060201 Behavioural Ecology,060203 Ecological Physiology,060308 Life Histories","Ecology, Evolution, Behavior and Systematics (Q1)",15,14,5.63,305,1,2.868,Q1,129,DU:30039058,"02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435, 02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435",Journal Article,FALSE
