DRO PID,article_title,Publication Type,Authors,Parent Publication,Fields Of Research,Publication Year,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,SJR.x,Abstract Views,File Downloads,URL,Open Access,ISSN,Rank,Sourceid,journal_title,Type,SJR.y,SJR Best Quartile,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Publisher,Categories,Quartiles
DU:30069777,Rigs-to-reefs: Will the deep sea benefit from artificial habitat?,Journal Article,"Macreadie,PI;Fowler,AM;Booth,DJ",Frontiers in ecology and the environment,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2011,72,41,8.039,4.779,193,2,http://dro.deakin.edu.au/view/DU:30069777,FALSE,"15409295, 15409295, 15409295, 15409295, 15409295, 15409309, 15409309, 15409309, 15409309, 15409295, 15409295, 15409295, 15409295, 15409295, 15409309, 15409309, 15409309, 15409309",324,144675,Frontiers in Ecology and the Environment,journal,4677,Q1,127,99,433,2404,1748,185,"8,23","24,28",United States,Wiley-Blackwell,"Ecology, Evolution, Behavior and Systematics ",1
DU:30069778,Edge patterns in aquatic invertebrates explained by predictive models,Journal Article,"Macreadie,PI;Connolly,RM;Jenkins,GP;Hindell,JS;Keough,MJ",Marine and freshwater research,060202 Community Ecology (excl Invasive Species Ecology),2010,12,13,1.757,0.711,224,1,http://dro.deakin.edu.au/view/DU:30069778,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,Aquatic Science ,2
DU:30069778,Edge patterns in aquatic invertebrates explained by predictive models,Journal Article,"Macreadie,PI;Connolly,RM;Jenkins,GP;Hindell,JS;Keough,MJ",Marine and freshwater research,060202 Community Ecology (excl Invasive Species Ecology),2010,12,13,1.757,0.711,224,1,http://dro.deakin.edu.au/view/DU:30069778,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,Ecology ,2
DU:30069778,Edge patterns in aquatic invertebrates explained by predictive models,Journal Article,"Macreadie,PI;Connolly,RM;Jenkins,GP;Hindell,JS;Keough,MJ",Marine and freshwater research,060202 Community Ecology (excl Invasive Species Ecology),2010,12,13,1.757,0.711,224,1,http://dro.deakin.edu.au/view/DU:30069778,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,"Ecology, Evolution, Behavior and Systematics ",2
DU:30069778,Edge patterns in aquatic invertebrates explained by predictive models,Journal Article,"Macreadie,PI;Connolly,RM;Jenkins,GP;Hindell,JS;Keough,MJ",Marine and freshwater research,060202 Community Ecology (excl Invasive Species Ecology),2010,12,13,1.757,0.711,224,1,http://dro.deakin.edu.au/view/DU:30069778,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,Oceanography ,2
DU:30069779,Paleoreconstruction of estuarine sediments reveal human-induced weakening of coastal carbon sinks,Journal Article,"Macreadie,Peter I;Allen,Katie;Kelaher,Brendan P;Ralph,Peter J;Skilbeck,Charles G",Global change biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2012,45,41,8.502,4.768,183,2,http://dro.deakin.edu.au/view/DU:30069779,FALSE,"13541013, 13652486, 13652486, 13652486, 13541013, 13652486, 13652486, 13652486",319,15131,Global Change Biology,journal,4731,Q1,204,455,1027,33162,9299,987,"8,86","72,88",United Kingdom,Blackwell Publishing Inc.,Ecology ,1
DU:30069779,Paleoreconstruction of estuarine sediments reveal human-induced weakening of coastal carbon sinks,Journal Article,"Macreadie,Peter I;Allen,Katie;Kelaher,Brendan P;Ralph,Peter J;Skilbeck,Charles G",Global change biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2012,45,41,8.502,4.768,183,2,http://dro.deakin.edu.au/view/DU:30069779,FALSE,"13541013, 13652486, 13652486, 13652486, 13541013, 13652486, 13652486, 13652486",319,15131,Global Change Biology,journal,4731,Q1,204,455,1027,33162,9299,987,"8,86","72,88",United Kingdom,Blackwell Publishing Inc.,Environmental Chemistry ,1
DU:30069779,Paleoreconstruction of estuarine sediments reveal human-induced weakening of coastal carbon sinks,Journal Article,"Macreadie,Peter I;Allen,Katie;Kelaher,Brendan P;Ralph,Peter J;Skilbeck,Charles G",Global change biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2012,45,41,8.502,4.768,183,2,http://dro.deakin.edu.au/view/DU:30069779,FALSE,"13541013, 13652486, 13652486, 13652486, 13541013, 13652486, 13652486, 13652486",319,15131,Global Change Biology,journal,4731,Q1,204,455,1027,33162,9299,987,"8,86","72,88",United Kingdom,Blackwell Publishing Inc.,Environmental Science (miscellaneous) ,1
DU:30069779,Paleoreconstruction of estuarine sediments reveal human-induced weakening of coastal carbon sinks,Journal Article,"Macreadie,Peter I;Allen,Katie;Kelaher,Brendan P;Ralph,Peter J;Skilbeck,Charles G",Global change biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2012,45,41,8.502,4.768,183,2,http://dro.deakin.edu.au/view/DU:30069779,FALSE,"13541013, 13652486, 13652486, 13652486, 13541013, 13652486, 13652486, 13652486",319,15131,Global Change Biology,journal,4731,Q1,204,455,1027,33162,9299,987,"8,86","72,88",United Kingdom,Blackwell Publishing Inc.,Global and Planetary Change ,1
DU:30069781,Implications of climate change for macrophytic rafts and their hitchhikers,Journal Article,"Macreadie,PI;Bishop,MJ;Booth,DJ",Marine ecology progress series,060202 Community Ecology (excl Invasive Species Ecology),2011,20,16,2.292,1.279,196,2,http://dro.deakin.edu.au/view/DU:30069781,FALSE,"01718630, 01718630, 01718630, 01718630, 01718630",2973,12169,Marine Ecology - Progress Series,journal,1289,Q1,161,415,1415,28996,3555,1399,"2,37","69,87",Germany,Inter-Research Science Publishing,Aquatic Science ,1
DU:30069781,Implications of climate change for macrophytic rafts and their hitchhikers,Journal Article,"Macreadie,PI;Bishop,MJ;Booth,DJ",Marine ecology progress series,060202 Community Ecology (excl Invasive Species Ecology),2011,20,16,2.292,1.279,196,2,http://dro.deakin.edu.au/view/DU:30069781,FALSE,"01718630, 01718630, 01718630, 01718630, 01718630",2973,12169,Marine Ecology - Progress Series,journal,1289,Q1,161,415,1415,28996,3555,1399,"2,37","69,87",Germany,Inter-Research Science Publishing,Ecology ,1
